first_to_compare,second_to_compare,procent
punctuation,punctuation,0
punctuation,noun,18.76235654
punctuation,pronoun,18.76235654
punctuation,adjective,7.426046683
punctuation,numeral,0.916467933
punctuation,verb,5.254416147
punctuation,adverb,8.569639277
punctuation,participle,0.44561593
punctuation,participle_d,0.727197381
punctuation,preposition,10.12298601
punctuation,conjunction,9.318088089
punctuation,particle,3.089426683
punctuation,interjection,0.100944294
punctuation,filler,0.100944294
noun,punctuation,45.99207986
noun,noun,91.45486628
noun,pronoun,91.45486628
noun,adjective,36.10817244
noun,numeral,4.195829274
noun,verb,66.61659298
noun,adverb,19.41982267
noun,participle,7.465893115
noun,participle_d,1.678198888
noun,preposition,43.69559717
noun,conjunction,31.31995954
noun,particle,14.72724121
noun,interjection,0.025900181
noun,filler,0.025900181
pronoun,punctuation,45.99207986
pronoun,noun,91.45486628
pronoun,pronoun,91.45486628
pronoun,adjective,36.10817244
pronoun,numeral,4.195829274
pronoun,verb,66.61659298
pronoun,adverb,19.41982267
pronoun,participle,7.465893115
pronoun,participle_d,1.678198888
pronoun,preposition,43.69559717
pronoun,conjunction,31.31995954
pronoun,particle,14.72724121
pronoun,interjection,0.025900181
pronoun,filler,0.025900181
adjective,punctuation,4.584996092
adjective,noun,90.59484746
adjective,pronoun,90.59484746
adjective,adjective,14.95303766
adjective,numeral,0.509370221
adjective,verb,5.680772968
adjective,adverb,1.615108704
adjective,participle,0.789623458
adjective,participle_d,0.07105947
adjective,preposition,3.532386184
adjective,conjunction,5.974972456
adjective,particle,2.268590187
adjective,interjection,0.002656429
adjective,filler,0.002656429
numeral,punctuation,0.516011292
numeral,noun,10.94249429
numeral,pronoun,10.94249429
numeral,adjective,1.057258658
numeral,numeral,0.918460254
numeral,verb,0.415066998
numeral,adverb,0.116882867
numeral,participle,0.124852153
numeral,participle_d,0.005976965
numeral,preposition,1.289696178
numeral,conjunction,0.286894309
numeral,particle,0.065746613
numeral,interjection,0
numeral,filler,0
verb,punctuation,8.952165023
verb,noun,39.30850502
verb,pronoun,39.30850502
verb,adjective,19.37931213
verb,numeral,1.798402291
verb,verb,14.54726816
verb,adverb,9.055765745
verb,participle,3.082121504
verb,participle_d,0.377876995
verb,preposition,26.92888275
verb,conjunction,9.716552407
verb,particle,6.844288778
verb,interjection,0.019259109
verb,filler,0.019259109
adverb,punctuation,2.817142732
adverb,noun,8.551044275
adverb,pronoun,8.551044275
adverb,adjective,7.9812403
adverb,numeral,0.697976665
adverb,verb,16.89820764
adverb,adverb,4.542493231
adverb,participle,1.975718913
adverb,participle_d,0.593047727
adverb,preposition,5.165425782
adverb,conjunction,2.817806839
adverb,particle,4.793525752
adverb,interjection,0.008633394
adverb,filler,0.008633394
participle,punctuation,0.726533274
participle,noun,6.779206272
participle,pronoun,6.779206272
participle,adjective,2.404732162
participle,numeral,0.226460554
participle,verb,0.650160946
participle,adverb,0.810874888
participle,participle,0.168683228
participle,participle_d,0.013282144
participle,preposition,4.446197687
participle,conjunction,0.721884524
participle,particle,0.393815568
participle,interjection,0
participle,filler,0
participle_d,punctuation,0.056449112
participle_d,noun,1.397945651
participle_d,pronoun,1.397945651
participle_d,adjective,0.67074827
participle_d,numeral,0.038518217
participle_d,verb,0.342679314
participle_d,adverb,0.217827161
participle_d,participle,0.057777326
participle_d,participle_d,0.015938573
participle_d,preposition,1.330870824
participle_d,conjunction,0.262322343
participle_d,particle,0.12086751
participle_d,interjection,0
participle_d,filler,0
preposition,punctuation,0.050472147
preposition,noun,65.84689274
preposition,pronoun,65.84689274
preposition,adjective,28.26041768
preposition,numeral,5.064481488
preposition,verb,1.428494582
preposition,adverb,0.744464168
preposition,participle,1.359427433
preposition,participle_d,0.001992322
preposition,preposition,0.059105541
preposition,conjunction,0.042502861
preposition,particle,0.133485547
preposition,interjection,0.000664107
preposition,filler,0.000664107
conjunction,punctuation,0.019259109
conjunction,noun,22.1446545
conjunction,pronoun,22.1446545
conjunction,adjective,9.794917056
conjunction,numeral,0.517339507
conjunction,verb,9.942348854
conjunction,adverb,6.203425332
conjunction,participle,0.98354276
conjunction,participle_d,0.405769498
conjunction,preposition,6.55473804
conjunction,conjunction,1.123669378
conjunction,particle,5.032604343
conjunction,interjection,0.005976965
conjunction,filler,0.005976965
particle,punctuation,0.332053599
particle,noun,6.546768753
particle,pronoun,6.546768753
particle,adjective,4.73242789
particle,numeral,0.941704006
particle,verb,15.574642
particle,adverb,3.941476217
particle,participle,0.91713204
particle,participle_d,0.575116833
particle,preposition,4.254934815
particle,conjunction,0.667427734
particle,particle,3.158493831
particle,interjection,0.002656429
particle,filler,0.002656429
interjection,punctuation,0.043166968
interjection,noun,0.041838753
interjection,pronoun,0.041838753
interjection,adjective,0.014610358
interjection,numeral,0.001328214
interjection,verb,0.020587323
interjection,adverb,0.015274466
interjection,participle,0
interjection,participle_d,0
interjection,preposition,0.005312858
interjection,conjunction,0.009297501
interjection,particle,0.015938573
interjection,interjection,0.010625715
interjection,filler,0.010625715
filler,punctuation,0.043166968
filler,noun,0.041838753
filler,pronoun,0.041838753
filler,adjective,0.014610358
filler,numeral,0.001328214
filler,verb,0.020587323
filler,adverb,0.015274466
filler,participle,0
filler,participle_d,0
filler,preposition,0.005312858
filler,conjunction,0.009297501
filler,particle,0.015938573
filler,interjection,0.010625715
filler,filler,0.010625715
