text_form,part_of_speech,type_character,character
о,noun,gender,s
е,noun,gender,s
е,noun,gender,f
е,noun,number,pl
е,noun,case,predl
е,noun,gender,m
е,noun,case,dat
ё,noun,gender,s
ья,noun,number,pl
и,noun,number,pl
и,noun,case,rod
и,noun,case,predl
и,noun,gender,f
а,noun,gender,f
а,noun,gender,m
а,noun,case,rod
я,noun,gender,f
я,noun,gender,m
я,noun,case,rod
ь,noun,gender,m
ь,noun,gender,f
й,noun,gender,m
мя,noun,gender,s
ы,noun,number,pl
ы,noun,case,rod
ю,noun,case,rod
ю,noun,case,vin
ю,noun,gender,f
ов,noun,case,rod
ов,noun,number,pl
ей,noun,case,rod
ей,noun,number,pl
ей,noun,case,tvor
ей,noun,gender,f
ёй,noun,case,tvor
ёй,noun,gender,f
у,noun,case,dat
у,noun,gender,m
у,noun,gender,s
у,noun,case,vin
у,noun,gender,f
ам,noun,case,dat
ам,noun,number,pl
ям,noun,case,dat
ям,noun,number,pl
ой,noun,case,tvor
ой,noun,gender,f
ом,noun,case,tvor
ом,noun,gender,m
ом,noun,gender,s
ом,noun,case,predl
ем,noun,case,tvor
ем,noun,gender,m
ём,noun,case,tvor
ём,noun,gender,m
ами,noun,case,tvor
ами,noun,number,pl
ями,noun,case,tvor
ями,noun,number,pl
ью,noun,case,tvor
ью,noun,gender,f
ях,noun,case,predl
ях,noun,number,pl
ах,noun,case,predl
ах,noun,number,pl
ая,adjective,typ,kach
ая,adjective,gender,f
яя,adjective,typ,kach
яя,adjective,gender,f
ое,adjective,typ,kach
ое,adjective,gender,s
ый,adjective,typ,kach
ый,adjective,gender,m
ой,adjective,typ,kach
ой,adjective,gender,m
ий,adjective,typ,kach
ий,adjective,gender,m
ые,adjective,typ,kach
ые,adjective,number,pl
ие,adjective,typ,kach
ие,adjective,number,pl
а,adjective,typ,kach
а,adjective,form,krat
а,adjective,gender,f
о,adjective,typ,kach
о,adjective,form,krat
о,adjective,gender,s
и,adjective,typ,kach
и,adjective,form,krat
и,adjective,number,pl
ы,adjective,typ,kach
ы,adjective,form,krat
ы,adjective,number,pl
е,adjective,degree,srav
е,adjective,typ,kach
ее,adjective,degree,srav
ее,adjective,typ,kach
ее,adjective,gender,s
ей,adjective,degree,srav
ей,adjective,typ,kach
нен,adjective,typ,kach
нен,adjective,form,krat
нен,adjective,gender,m
ен,adjective,typ,kach
ен,adjective,form,krat
ен,adjective,gender,m
ён,adjective,typ,kach
ён,adjective,form,krat
ён,adjective,gender,m
ого,adjective,case,rod
ого,adjective,gender,m
ого,adjective,gender,s
его,adjective,case,rod
его,adjective,gender,m
его,adjective,gender,s
ому,adjective,case,dat
ому,adjective,gender,m
ому,adjective,gender,s
ему,adjective,case,dat
ему,adjective,gender,m
ему,adjective,gender,s
ым,adjective,case,tvor
ым,adjective,gender,m
ым,adjective,gender,s
им,adjective,case,tvor
им,adjective,gender,m
им,adjective,gender,s
ом,adjective,case,predl
ом,adjective,gender,m
ом,adjective,gender,s
ем,adjective,case,predl
ем,adjective,gender,m
ем,adjective,gender,s
ой,adjective,case,rod
ой,adjective,gender,f
ей,adjective,case,rod
ей,adjective,gender,f
ую,adjective,case,vin
ую,adjective,gender,f
юю,adjective,case,vin
юю,adjective,gender,f
ою,adjective,case,tvor
ою,adjective,gender,f
ею,adjective,case,tvor
ею,adjective,gender,f
ых,adjective,case,rod
ых,adjective,number,pl
их,adjective,case,rod
их,adjective,number,pl
ым,adjective,case,dat
ым,adjective,number,pl
им,adjective,case,dat
им,adjective,number,pl
ыми,adjective,case,tvor
ыми,adjective,number,pl
ими,adjective,case,tvor
ими,adjective,number,pl
у,verb,declension,1
у,verb,declension,2
у,verb,number,s
у,verb,person,1
у,verb,time,n
ю,verb,declension,1
ю,verb,declension,2
ю,verb,number,s
ю,verb,person,1
ю,verb,time,n
ешь,verb,declension,1
ешь,verb,number,s
ешь,verb,person,2
ешь,verb,time,n
ёшь,verb,declension,1
ёшь,verb,number,s
ёшь,verb,person,2
ёшь,verb,time,n
ишь,verb,declension,2
ишь,verb,number,s
ишь,verb,person,2
ишь,verb,time,n
ет,verb,declension,1
ет,verb,number,s
ет,verb,person,3
ет,verb,time,n
ёт,verb,declension,1
ёт,verb,number,s
ёт,verb,person,3
ёт,verb,time,n
ит,verb,declension,2
ит,verb,number,s
ит,verb,person,3
ит,verb,time,n
ем,verb,declension,1
ем,verb,number,pl
ем,verb,person,1
ем,verb,time,n
им,verb,declension,2
им,verb,number,pl
им,verb,person,1
им,verb,time,n
ете,verb,declension,1
ете,verb,number,pl
ете,verb,person,2
ете,verb,time,n
ёте,verb,declension,1
ёте,verb,number,pl
ёте,verb,person,2
ёте,verb,time,n
ите,verb,declension,2
ите,verb,number,pl
ите,verb,person,2
ите,verb,time,n
ут,verb,declension,1
ут,verb,number,pl
ут,verb,person,3
ут,verb,time,n
ат,verb,declension,2
ат,verb,number,pl
ат,verb,person,3
ат,verb,time,n
ят,verb,declension,2
ят,verb,number,pl
ят,verb,person,3
ят,verb,time,n
ют,verb,declension,1
ют,verb,number,pl
ют,verb,person,3
ют,verb,time,n
и,verb,inclination,povel
й,verb,inclination,povel
ь,verb,inclination,povel
те,verb,inclination,povel
те,verb,number,pl
а,verb,number,s
а,verb,person,3
а,verb,time,p
а,verb,gender,f
о,verb,number,s
о,verb,person,3
о,verb,time,p
о,verb,gender,s
