text_form,pronoun_type,person,gender,number,case,suffix,prefix,ending,root
я,lich,1,im,s,-,-,-,-,я
меня,lich,1,rod,s,-,-,-,я,мен
мне,lich,1,dat,s,-,-,-,е,мн
мной,lich,1,tvor,s,-,-,-,ой,мн
мною,lich,1,tvor,s,-,-,-,ою,мн
мы,lich,1,im,pl,-,-,-,-,мы
нас,lich,1,rod,pl,-,-,-,-,нас
нам,lich,1,dat,pl,-,-,-,-,нам
нами,lich,1,tvor,pl,-,-,-,и,нам
ты,lich,2,im,s,-,-,-,-,ты
тебя,lich,2,rod,s,-,-,-,я,теб
тебе,lich,2,dat,s,-,-,-,е,теб
тобой,lich,2,tvor,s,-,-,-,ой,тоб
тобою,lich,2,tvor,s,-,-,-,ою,тоб
вы,lich,2,im,pl,-,-,-,-,вы
вас,lich,2,rod,pl,-,-,-,-,вас
вам,lich,2,dat,pl,-,-,-,-,вам
вами,lich,2,tvor,pl,-,-,-,и,вам
он,lich,3,im,s,m,-,-,-,он
его,lich,3,rod,s,m,-,-,-,его
ему,lich,3,dat,s,m,-,-,у,ем
им,lich,3,-,-,-,-,-,-,им
нём,lich,3,predl,s,-,-,-,-,нём
она,lich,3,im,s,f,-,-,а,он
её,lich,3,rod,s,f,-,-,-,её
неё,lich,3,rod,s,f,-,-,её,н
ней,lich,3,dat,s,f,-,-,ей,н
ей,lich,3,dat,s,f,-,-,-,ей
ею,lich,3,tvor,s,f,-,-,-,ею
нею,lich,3,tvor,s,f,-,-,ею,не
оно,lich,3,im,s,s,-,-,о,он
него,lich,3,rod,s,s,-,-,его,н
нему,lich,3,dat,s,s,-,-,ему,н
ним,lich,3,tvor,s,s,-,-,-,ним
они,lich,3,im,pl,-,-,-,и,он
их,lich,3,rod,pl,-,-,-,-,их
них,lich,3,rod,pl,-,-,-,их,н
ими,lich,3,tvor,pl,-,-,-,и,им
ними,lich,3,tvor,pl,-,-,-,и,ним
себя,vozvr,-,rod,-,-,-,-,я,себ
себе,vozvr,-,dat,-,-,-,-,е,себ
собой,vozvr,-,tvor,-,-,-,-,ой,соб
собою,vozvr,-,tvor,-,-,-,-,ою,соб
мой,prityazh,1,im,s,m,-,-,-,мой
моего,prityazh,1,rod,s,-,-,-,его,мо
моему,prityazh,1,dat,s,-,-,-,ему,мо
моим,prityazh,1,tvor,-,-,-,-,им,мо
моём,prityazh,1,predl,s,-,-,-,ём,мо
моя,prityazh,1,im,s,f,-,-,я,мо
моей,prityazh,1,rod,s,f,-,-,ей,мо
мою,prityazh,1,vin,s,f,-,-,ю,мо
моё,prityazh,1,im,s,s,-,-,ё,мо
мои,prityazh,1,im,pl,-,-,-,и,мо
моих,prityazh,1,rod,pl,-,-,-,их,мо
моими,prityazh,1,tvor,pl,-,-,-,ими,мо
наш,prityazh,1,im,s,m,-,-,-,наш
нашего,prityazh,1,rod,s,-,-,-,его,наш
нашему,prityazh,1,dat,s,-,-,-,ему,наш
нашим,prityazh,1,tvor,-,-,-,-,им,наш
нашем,prityazh,1,predl,s,-,-,-,ем,наш
наша,prityazh,1,im,s,f,-,-,а,наш
нашей,prityazh,1,rod,s,f,-,-,ей,наш
нашу,prityazh,1,vin,s,f,-,-,у,наш
наше,prityazh,1,im,s,s,-,-,е,наш
наши,prityazh,1,im,pl,-,-,-,и,наш
наших,prityazh,1,rod,pl,-,-,-,их,наш
